Veto,Link,Ementa,Sobresta,Materia_Vetada,Norma_Gerada
VET 11/2024 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16469,"Veto Parcial aposto ao Projeto de Lei Complementar nº 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991 (Lei Orgânica da Seguridade Social), 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023 (Novo Arcabouço Fiscal); e revoga as Leis nºs 6.194, de 19 de dezembro de 1974 (Lei do DPVAT), e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009"".",16/06/2024,PLP 233/2023,Lei Complementar nº 207 de 16/05/2024
VET 8/2024 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16409,"Veto Parcial aposto ao Projeto de Lei nº 2.253, de 2022 (nº 583/2011, na Câmara dos Deputados), que ""Altera a Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para dispor sobre a monitoração eletrônica do preso, prever a realização de exame criminológico para progressão de regime e restringir o benefício da saída temporária"".",12/05/2024,PL 2253/2022,Lei nº 14.843 de 11/04/2024
VET 7/2024 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16389,"Veto Parcial aposto ao Projeto de Lei nº 6.379, de 2019, que ""Dispõe sobre a atividade profissional de musicoterapeuta"".",12/05/2024,PL 6379/2019,Lei nº 14.842 de 11/04/2024
VET 6/2024 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16369,"Veto Parcial aposto ao Projeto de Lei nº 5.656, de 2019 (nº 9.484/2018, na Câmara dos Deputados), que ""Altera a Lei nº 12.244, de 24 de maio de 2010, que 'dispõe sobre a universalização das bibliotecas nas instituições de ensino do País', para modificar a definição de biblioteca escolar e criar o Sistema Nacional de Bibliotecas Escolares (SNBE)"".",09/05/2024,PL 5656/2019,Lei nº 14.837 de 08/04/2024
VET 5/2024 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16349,"Veto Parcial aposto ao Projeto de Lei nº 5.206, de 2023 (nº 9.474/2018, na Câmara dos Deputados), que ""Institui o marco regulatório do Sistema Nacional de Cultura (SNC), para garantia dos direitos culturais, organizado em regime de colaboração entre os entes federativos para gestão conjunta das políticas públicas de cultura"".",08/05/2024,PL 5206/2023,Lei nº 14.835 de 04/04/2024
VET 4/2024 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16329,"Veto Parcial aposto ao Projeto de Lei do Congresso Nacional nº 29, de 2023, que ""Estima a receita e fixa a despesa da União para o exercício financeiro de 2024"".",03/03/2024,PLN 29/2023,Lei nº 14.822 de 22/01/2024
VET 3/2024 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16309,"Veto Parcial aposto ao Projeto de Lei nº 54, de 2021, que ""Institui incentivo financeiro-educacional, na modalidade de poupança, aos estudantes matriculados no ensino médio público; e altera a Lei nº 13.999, de 18 de maio de 2020, e a Lei nº 14.075, de 22 de outubro de 2020"".",03/03/2024,PL 54/2021,Lei nº 14.818 de 16/01/2024
VET 2/2024 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16289,"Veto Parcial aposto ao Projeto de Lei nº 2.402, de 2023, que ""Dispõe sobre a transformação de cargos efetivos em cargos em comissão e funções de confiança no quadro de pessoal do Ministério Público da União; e altera a Lei nº 13.316, de 20 julho de 2016"".",03/03/2024,PL 2402/2023,Lei nº 14.810 de 12/01/2024
VET 1/2024 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16249,"Veto Parcial aposto ao Projeto de Lei do Congresso Nacional nº 4, de 2023, que ""Dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2024 e dá outras providências"".",03/03/2024,PLN 4/2023,Lei nº 14.791 de 29/12/2023
VET 49/2023 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/16269,"Veto Parcial aposto ao Projeto de Lei nº 3.626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências"".",03/03/2024,PL 3626/2023,Lei nº 14.790 de 29/12/2023
