Link,Matéria,Ementa,Prazo,Status
https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/164009,MPV 1230/2024,"Institui Apoio Financeiro com o objetivo de enfrentar a calamidade pública e as suas consequências sociais e econômicas decorrentes de eventos climáticos no Estado do Rio Grande do Sul, destinado aos trabalhadores com vínculo formal de emprego.",19/08/2024 - NA,em tramitação
https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/164005,MPV 1229/2024,"Dispõe sobre a prestação de apoio financeiro pela União aos Municípios do Estado do Rio Grande do Sul com estado de calamidade pública reconhecido pelo Poder Executivo federal que não tenham sido contemplados pela Medida Provisória nº 1.222, de 21 de maio de 2024.",19/08/2024 - NA,em tramitação
https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/164004,MPV 1228/2024,Institui Apoio Financeiro destinado às famílias desalojadas ou desabrigadas nos Municípios do Estado do Rio Grande do Sul com estado de calamidade pública ou situação de emergência reconhecida pelo Poder Executivo federal.,19/08/2024 - NA,em tramitação
https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/163954,MPV 1227/2024,"Prevê condições para fruição de benefícios fiscais, delega competência para julgamento de processo administrativo fiscal relativo ao Imposto sobre a Propriedade Territorial Rural - ITR, limita a compensação de créditos relativos a tributos administrados pela Secretaria Especial da Receita Federal do Brasil do Ministério da Fazenda e revoga hipóteses de ressarcimento e de compensação de créditos presumidos da Contribuição para o PIS/Pasep e da Cofins.",16/08/2024 - NA,em tramitação
https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/163906,MPV 1226/2024,"Altera a Lei nº 12.351, de 22 de dezembro de 2010, para autorizar a utilização do superávit financeiro do Fundo Social como fonte de recursos para a disponibilização de linhas de financiamento a pessoas jurídicas e físicas localizadas em ente federativo em estado de calamidade pública, nos termos do art. 65 da Lei Complementar nº 101, de 4 de maio de 2000, autoriza a União a aumentar a sua participação no Fundo Garantidor de Operações para a cobertura das operações contratadas no âmbito do Programa Nacional de Fortalecimento da Agricultura Familiar e do Programa Nacional de Apoio ao Médio Produtor Rural com beneficiários que tiveram perdas materiais nas áreas afetadas pelos eventos climáticos extremos ocorridos nos meses de abril e maio de 2024, e dispõe sobre a subvenção de que trata o art. 2º da Medida Provisória nº 1.216, de 9 de maio de 2024.",10/08/2024 - NA,em tramitação
https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/163833,MPV 1225/2024,"Abre crédito extraordinário, em favor dos Ministérios da Agricultura e Pecuária e do Desenvolvimento Agrário e Agricultura Familiar, no valor de R$ 6.698.923.000,00, para os fins que especifica.",05/08/2024 - NA,em tramitação
https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/163831,MPV 1224/2024,Autoriza modalidade de venda de arroz beneficiado importado pela Companhia Nacional de Abastecimento para enfrentamento das consequências sociais e econômicas decorrentes de eventos climáticos extremos no Estado do Rio Grande do Sul.,05/08/2024 - NA,em tramitação
https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/163825,MPV 1223/2024,"Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo federal, da Defensoria Pública da União, e de Transferências a Estados, Distrito Federal e Municípios, no valor de R$ 1.828.262.094,00, para os fins que especifica.",04/08/2024 - NA,em tramitação
https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/163765,MPV 1222/2024,Dispõe sobre a prestação de apoio financeiro pela União aos Municípios do Estado do Rio Grande do Sul com estado de calamidade pública reconhecido pelo Poder Executivo federal.,02/08/2024 - NA,em tramitação
https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/163708,MPV 1221/2024,"Dispõe sobre medidas excepcionais para a aquisição de bens e a contratação de obras e de serviços, inclusive de engenharia, destinados ao enfrentamento de impactos decorrentes de estado de calamidade pública.",15/07/2024 - NA,em tramitação
